mode,sweep,batch_size,seq_len,total_tokens,token_group,median_ttft_ms,mean_ttft_ms,median_e2e_latency_ms,request_throughput,input_throughput,output_throughput,num_events,kv_events,failed_events,raw_bytes,encoded_bytes_projected,actual_transfer_ms_sum,actual_transfer_ms_median,actual_effective_gbs,projected_splitzip_total_ms_sum,projected_splitzip_total_ms_median,projected_transfer_ms_sum,projected_encode_ms_sum,projected_decode_ms_sum,output_file
native,bs16_seq,16,128,2064,65536,509.5247928984463,500.5868229927728,509.53767995815724,19.46204440053244,1216.3777750332777,19.46204440053244,32,16,0,262144000,198060951,477.72370325401425,27.164524071849883,0.5110498460449765,361.56932337089626,20.57173773416997,360.94059396301503,0.5168330143413424,0.11189639353984834,experiments/splitzip_v2/results/sglang_realworld_full_attempt_all_mc900_warmup0_min32768_margin32768/native/bs16_seq_bs16_seq128.jsonl
splitzip,bs16_seq,16,128,2064,65536,399.8103919439018,406.58633086422924,399.82562500517815,22.883627611133118,1430.2267256958198,22.883627611133118,32,16,0,262144000,198060951,441.8187921401113,26.233777520246804,0.5525808981945185,334.4416345931205,19.86631854068434,333.81290518523934,0.5168330143413424,0.11189639353984834,experiments/splitzip_v2/results/sglang_realworld_full_attempt_all_mc900_warmup0_min32768_margin32768/splitzip/bs16_seq_bs16_seq128.jsonl
native,bs16_seq,16,256,4112,65536,594.61236349307,608.4622727503302,594.6275010937825,14.919731038458185,2364.7773695956225,14.919731038458185,32,16,0,664797184,502282571,813.4688944555819,49.849279574118555,0.7611116162153476,616.2048359850446,37.76825055648756,614.610378206658,1.3106885243696442,0.2837692540170554,experiments/splitzip_v2/results/sglang_realworld_full_attempt_all_mc900_warmup0_min32768_margin32768/native/bs16_seq_bs16_seq256.jsonl
splitzip,bs16_seq,16,256,4112,65536,550.6018354790285,564.7697522508679,550.6173230241984,15.71773403285614,2491.260844207698,15.71773403285614,32,16,0,664797184,502282571,789.0517641790211,53.082054015249014,0.7846641413243561,597.7566546516431,40.22426694456154,596.1621968732564,1.3106885243696442,0.2837692540170554,experiments/splitzip_v2/results/sglang_realworld_full_attempt_all_mc900_warmup0_min32768_margin32768/splitzip/bs16_seq_bs16_seq256.jsonl
native,bs16_seq,16,512,8208,65536,918.786799069494,915.2202675468288,918.7992295483127,9.373266862292509,2385.4964164534435,9.373266862292509,32,16,0,1067450368,806504192,1471.5049827937037,86.62082115188241,0.6755944673137221,1114.3448409427249,65.5846669292088,1111.7846547938327,2.104544034397946,0.45564211449426245,experiments/splitzip_v2/results/sglang_realworld_full_attempt_all_mc900_warmup0_min32768_margin32768/native/bs16_seq_bs16_seq512.jsonl
splitzip,bs16_seq,16,512,8208,65536,894.7389898821712,884.2808396293549,894.7525244439021,9.611427168045621,2446.1082142676105,9.611427168045621,32,16,0,1067450368,806504192,1443.3607428800315,79.22228041570634,0.6887679534752529,1093.0806696196682,60.004814126091034,1090.520483470776,2.104544034397946,0.45564211449426245,experiments/splitzip_v2/results/sglang_realworld_full_attempt_all_mc900_warmup0_min32768_margin32768/splitzip/bs16_seq_bs16_seq512.jsonl
native,bs16_seq,16,1024,16400,65536,1691.4015129441395,1778.6244966409868,1691.4200724568218,4.619218806157176,2653.7412041372972,4.619218806157176,32,16,0,2409627648,1820576261,3046.2846567388624,212.90128806140274,0.7366811962354229,2307.3770157559547,161.29483922273522,2301.5977350387107,4.7507290678256195,1.028551649418286,experiments/splitzip_v2/results/sglang_realworld_full_attempt_all_mc900_warmup0_min32768_margin32768/native/bs16_seq_bs16_seq1024.jsonl
splitzip,bs16_seq,16,1024,16400,65536,1872.6120826322585,1751.327481790213,1872.629924560897,5.06922214830474,2912.268124201073,5.06922214830474,32,16,0,2409627648,1820576261,2721.9938270282,196.6669620014727,0.8244473601360414,2062.3614892178293,149.01842640773128,2056.5822085005857,4.7507290678256195,1.028551649418286,experiments/splitzip_v2/results/sglang_realworld_full_attempt_all_mc900_warmup0_min32768_margin32768/splitzip/bs16_seq_bs16_seq1024.jsonl
native,bs16_seq,16,2048,32784,65552,3405.769075616263,3673.2230659399647,3405.787135940045,2.709119674207353,2770.0748668770184,2.709119674207353,33,17,0,4288675840,3240277159,4769.233231199905,208.1596259959042,0.8374806664666099,3613.6447401178193,157.74500561430074,3603.358727004883,8.45538811462436,1.8306249983119187,experiments/splitzip_v2/results/sglang_realworld_full_attempt_all_mc900_warmup0_min32768_margin32768/native/bs16_seq_bs16_seq2048.jsonl
splitzip,bs16_seq,16,2048,32784,65552,4542.700446094386,4279.430120121106,4542.715066578239,2.554845550870787,2612.3295757653796,2.554845550870787,33,17,0,4288675840,3240277159,5925.246202154085,254.0153490845114,0.6740885507083159,4487.061749830839,192.6091255382464,4476.775736717903,8.455388114624363,1.830624998311919,experiments/splitzip_v2/results/sglang_realworld_full_attempt_all_mc900_warmup0_min32768_margin32768/splitzip/bs16_seq_bs16_seq2048.jsonl
native,bs16_seq,16,4096,65552,98320,6653.001322876662,7303.382116529974,6653.012444963679,1.2542377130597717,2727.339907048474,1.2542377130597717,36,20,0,9120514048,6890936610,12382.07263033837,356.2722409842536,0.686003133610102,9377.057716526142,269.98267471559666,9355.18296296714,17.981654234963983,3.8930993240384035,experiments/splitzip_v2/results/sglang_realworld_full_attempt_all_mc900_warmup0_min32768_margin32768/native/bs16_seq_bs16_seq4096.jsonl
splitzip,bs16_seq,16,4096,65552,98320,8420.388555969112,8058.559221826727,8420.402563526295,1.2309804518675684,2676.7669925860273,1.2309804518675684,36,20,0,9120514048,6890936611,12619.78856078349,511.83465600479394,0.6730810571102506,9556.662221274173,387.8892235528301,9534.78746771517,17.981654234963983,3.8930993240384035,experiments/splitzip_v2/results/sglang_realworld_full_attempt_all_mc900_warmup0_min32768_margin32768/splitzip/bs16_seq_bs16_seq4096.jsonl
native,bs16_seq,16,8192,131088,163856,16679.110955563374,16040.380531354458,16679.122746456414,0.602063819966197,2696.342817718613,0.602063819966197,40,24,0,18784190464,14192255518,26158.136662794277,843.9294385025278,0.6687838988884323,19808.63800531345,639.5746201633783,19763.585770862315,37.03418647564323,8.018047975491372,experiments/splitzip_v2/results/sglang_realworld_full_attempt_all_mc900_warmup0_min32768_margin32768/native/bs16_seq_bs16_seq8192.jsonl
splitzip,bs16_seq,16,8192,131088,163856,17013.240940403193,16540.016113969614,17013.254424906336,0.6118207895234128,2740.039405880604,0.6118207895234128,40,24,0,18784190464,14192255517,24936.90704088658,763.2536320015788,0.7015361045504396,18885.947039606403,578.4584018873691,18840.89480515527,37.03418647564323,8.018047975491372,experiments/splitzip_v2/results/sglang_realworld_full_attempt_all_mc900_warmup0_min32768_margin32768/splitzip/bs16_seq_bs16_seq8192.jsonl
native,bs16_seq,16,16384,262160,294928,31334.061389556155,31740.116829358158,31334.07331793569,0.33435047319382455,2695.7006901252103,0.33435047319382455,43,27,0,33816576000,25549862700,46516.1747217644,1132.9334320034832,0.6770578366209516,35226.05623655256,858.6364460437561,35144.950142935886,66.67145885003318,14.434634766640437,experiments/splitzip_v2/results/sglang_realworld_full_attempt_all_mc900_warmup0_min32768_margin32768/native/bs16_seq_bs16_seq16384.jsonl
splitzip,bs16_seq,16,16384,262160,294928,27833.953913883306,29251.579094372573,27833.968254970387,0.36521565149991586,2944.551190218072,0.36521565149991586,44,28,0,33816576000,25549862701,42549.91672793403,1108.0983255524188,0.7401692658148985,32229.379483122782,840.1959471981016,32148.27338950611,66.67145885003318,14.434634766640436,experiments/splitzip_v2/results/sglang_realworld_full_attempt_all_mc900_warmup0_min32768_margin32768/splitzip/bs16_seq_bs16_seq16384.jsonl
native,bs16_seq,16,32768,524304,557072,60582.57213700563,59519.7373337287,60582.585475523956,0.17063973000846458,2598.92840789392,0.17063973000846458,55,39,0,63881347072,48265077070,92395.25918941945,2164.40483299084,0.6439090181351308,69961.76529063252,1640.4505388855387,69808.55147868476,125.94600359881305,27.267808348938562,experiments/splitzip_v2/results/sglang_realworld_full_attempt_all_mc900_warmup0_min32768_margin32768/native/bs16_seq_bs16_seq32768.jsonl
splitzip,bs16_seq,16,32768,524304,557072,54221.66294162162,54563.22887458373,54221.67415264994,0.1828123945822145,2784.3241756844177,0.1828123945822145,55,39,0,63881347072,48265077068,86100.88562313467,1877.0887160208076,0.6909817500066964,65206.09811698189,1423.3709817944195,65052.884305034146,125.94600359881305,27.267808348938562,experiments/splitzip_v2/results/sglang_realworld_full_attempt_all_mc900_warmup0_min32768_margin32768/splitzip/bs16_seq_bs16_seq32768.jsonl
native,bs16_seq,16,65536,1048592,1081360,85880.60649693944,100457.75030729419,85880.62271196395,0.07761955741062297,2453.90349775814,0.07761955741062297,88,72,0,132600823808,100185567052,204696.50201150216,2105.24653759785,0.6033036198051919,154974.95242077296,1595.7539284147958,154656.9209669256,261.43067731030993,56.60077653704857,experiments/splitzip_v2/results/sglang_realworld_full_attempt_all_mc900_warmup0_min32768_margin32768/native/bs16_seq_bs16_seq65536.jsonl
splitzip,bs16_seq,16,65536,1048592,1081360,86557.58195510134,99855.19589518663,86557.59501247667,0.07764415371451894,2454.681097607659,0.07764415371451894,88,72,0,132600823808,100185567052,204510.86372486316,2099.6394290123135,0.6038512496389519,154834.6947928065,1591.517519190189,154516.66333895913,261.43067731030993,56.60077653704857,experiments/splitzip_v2/results/sglang_realworld_full_attempt_all_mc900_warmup0_min32768_margin32768/splitzip/bs16_seq_bs16_seq65536.jsonl
native,bs1_seq,1,512,513,65536,171.11590690910816,210.98926353442948,171.13010946195573,4.672520258633317,1189.1564058221793,4.672520258633317,32,16,0,1067450368,806504192,1701.485823141411,98.21018995717168,0.5842779360715112,1288.105155848174,74.35727537245617,1285.5449696992819,2.104544034397946,0.45564211449426245,experiments/splitzip_v2/results/sglang_realworld_full_attempt_all_mc900_warmup0_min32768_margin32768/native/bs1_seq_bs1_seq512.jsonl
splitzip,bs1_seq,1,512,513,65536,131.2802949687466,171.1112362536369,131.29282044246793,5.7602501073236985,1465.9836523138813,5.7602501073236985,32,16,0,1067450368,806504192,1390.2006461285055,64.8726545041427,0.7151058573944189,1052.9159535590445,49.16871946732417,1050.3557674101523,2.104544034397946,0.45564211449426245,experiments/splitzip_v2/results/sglang_realworld_full_attempt_all_mc900_warmup0_min32768_margin32768/splitzip/bs1_seq_bs1_seq512.jsonl
native,bs1_seq,1,1024,1025,65536,291.29353363532573,257.01147969812155,291.3061351282522,3.8494655172601817,2211.5179396659746,3.8494655172601817,32,16,0,2409627648,1820576261,2998.150527710095,214.78118852246553,0.7485083234676723,2271.0096322596037,162.71518404629228,2265.23035154236,4.7507290678256195,1.028551649418286,experiments/splitzip_v2/results/sglang_realworld_full_attempt_all_mc900_warmup0_min32768_margin32768/native/bs1_seq_bs1_seq1024.jsonl
splitzip,bs1_seq,1,1024,1025,65536,248.45059809740633,245.86623370123561,248.46400262322277,4.024974972684027,2312.3481218069737,4.024974972684027,32,16,0,2409627648,1820576261,2881.027619121596,177.98549542203546,0.7789375603709838,2182.518289032009,134.86228701726532,2176.7390083147648,4.7507290678256195,1.028551649418286,experiments/splitzip_v2/results/sglang_realworld_full_attempt_all_mc900_warmup0_min32768_margin32768/splitzip/bs1_seq_bs1_seq1024.jsonl
native,bs1_seq,1,2048,2049,65536,350.2267454750836,399.3224573787302,350.2468216465786,2.4863300841695803,2542.272511063396,2.4863300841695803,32,16,0,4288675840,3240277159,4989.295737352222,280.1483770599589,0.8005419672957004,3779.911331326447,212.21542015723608,3769.6253182135106,8.455388114624363,1.830624998311919,experiments/splitzip_v2/results/sglang_realworld_full_attempt_all_mc900_warmup0_min32768_margin32768/native/bs1_seq_bs1_seq2048.jsonl
splitzip,bs1_seq,1,2048,2049,65536,359.7066319780424,398.5022604756523,359.72043592482805,2.492655677118562,2548.74042985373,2.492655677118562,32,16,0,4288675840,3240277159,5012.968241237104,287.365369615145,0.7967616056578732,3797.7969157230364,217.75272935720255,3787.5109026101004,8.455388114624363,1.830624998311919,experiments/splitzip_v2/results/sglang_realworld_full_attempt_all_mc900_warmup0_min32768_margin32768/splitzip/bs1_seq_bs1_seq2048.jsonl
native,bs1_seq,1,4096,4097,65536,985.8547585317865,803.2064052822534,985.8677519951016,1.2404981545383709,2697.463237043687,1.2404981545383709,32,16,0,9120514048,6890936611,10351.854267995805,757.3302920209244,0.8205429100041348,7843.141319690148,573.8786973004317,7821.266566131145,17.981654234963983,3.8930993240384035,experiments/splitzip_v2/results/sglang_realworld_full_attempt_all_mc900_warmup0_min32768_margin32768/native/bs1_seq_bs1_seq4096.jsonl
splitzip,bs1_seq,1,4096,4097,65536,917.6781105343252,732.5139281456359,917.6888280780986,1.3600341240764884,2957.394202804324,1.3600341240764884,32,16,0,9120514048,6890936611,9238.536947639659,692.2069800784811,0.919424869234317,7001.98269150922,524.7403363963238,6980.107937950217,17.981654234963983,3.8930993240384035,experiments/splitzip_v2/results/sglang_realworld_full_attempt_all_mc900_warmup0_min32768_margin32768/splitzip/bs1_seq_bs1_seq4096.jsonl
native,bs1_seq,1,8192,8193,65536,1764.7833763621747,1642.836131635704,1764.7966664517298,0.6072132952261612,2719.4047426703632,0.6072132952261612,32,16,0,18784190464,14192255515,20977.324820822105,1313.8238564133644,0.833954795209888,15894.314117436854,995.568099053989,15849.261882985718,37.03418647564323,8.018047975491372,experiments/splitzip_v2/results/sglang_realworld_full_attempt_all_mc900_warmup0_min32768_margin32768/native/bs1_seq_bs1_seq8192.jsonl
splitzip,bs1_seq,1,8192,8193,65536,1683.7053284980357,1500.4538225621218,1683.716743486002,0.6653370758209178,2979.7120940639807,0.6653370758209178,32,16,0,18784190464,14192255515,18792.95396269299,1229.726971942,0.9308882818384304,14243.928947937735,932.0293229271667,14198.8767134866,37.03418647564323,8.018047975491372,experiments/splitzip_v2/results/sglang_realworld_full_attempt_all_mc900_warmup0_min32768_margin32768/splitzip/bs1_seq_bs1_seq8192.jsonl
native,bs1_seq,1,16384,16385,65536,3380.192142445594,3154.9150169012137,3380.2063369657844,0.31669997684157797,2553.3935632852226,0.31669997684157797,39,23,0,33816576000,25549862699,39362.50751465559,2103.2448201440275,0.8001050393772294,29821.156138106588,1593.2739311088687,29740.05004448991,66.67145885003318,14.434634766640436,experiments/splitzip_v2/results/sglang_realworld_full_attempt_all_mc900_warmup0_min32768_margin32768/native/bs1_seq_bs1_seq16384.jsonl
splitzip,bs1_seq,1,16384,16385,65536,2734.3809680314735,2750.8055734215304,2734.393846592866,0.36321427759208963,2928.4151130862224,0.36321427759208963,39,23,0,33816576000,25549862699,33036.63104120642,1673.0306560639292,0.9533096938885058,25041.68717705034,1268.2288164187848,24960.581083433666,66.67145885003318,14.434634766640436,experiments/splitzip_v2/results/sglang_realworld_full_attempt_all_mc900_warmup0_min32768_margin32768/splitzip/bs1_seq_bs1_seq16384.jsonl
native,bs1_seq,1,32768,32769,65537,4864.453766494989,5417.512600557529,4864.5251999842,0.18447060128642767,2809.5794928929367,0.18447060128642767,53,37,0,63881347072,48265077067,72665.00297142193,2036.0634508542717,0.8187454509345877,55054.71682337258,1543.4831613347199,54901.50301142483,125.94600359881305,27.267808348938562,experiments/splitzip_v2/results/sglang_realworld_full_attempt_all_mc900_warmup0_min32768_margin32768/native/bs1_seq_bs1_seq32768.jsonl
splitzip,bs1_seq,1,32768,32769,65537,4807.375332457013,5626.707222938421,4807.387952459976,0.17763562014178247,2705.4793125694177,0.17763562014178247,53,37,0,63881347072,48265077067,75899.27792199887,2118.3328081388026,0.7838564773454325,57498.349227938925,1605.6411628761361,57345.13541599117,125.94600359881305,27.267808348938562,experiments/splitzip_v2/results/sglang_realworld_full_attempt_all_mc900_warmup0_min32768_margin32768/splitzip/bs1_seq_bs1_seq32768.jsonl
native,bs1_seq,1,65536,65537,98305,12072.034188429825,12539.346143603325,12072.047094115987,0.07973020005912371,2520.630409769167,0.07973020005912371,85,69,0,132600823808,100185567051,184107.26414527744,2081.8014619871974,0.6707727758506685,139418.90675240575,1578.0401757607494,139100.87529855839,261.43067731030993,56.60077653704857,experiments/splitzip_v2/results/sglang_realworld_full_attempt_all_mc900_warmup0_min32768_margin32768/native/bs1_seq_bs1_seq65536.jsonl
